Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	2	2	2	20996.137	20996.137	20996.137			
sp|A8K7I4|CLCA1_HUMAN	A8K7I4	CLCA1_HUMAN	CLCA1	914	Homo sapiens OX=9606	Calcium-activated chloride channel regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	16	15	16	38	37	38	242790.3	242790.3	242790.3	2C(57.0214),1M(15.9949),1C(57.0214),13C(57.0214),1C(57.0214),12C(57.0214),3C(57.0214)		
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	7	0	7	158466.92	0	158466.92	10M(15.9949)		sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	9	0	9	41135.883	0	41135.883	6M(15.9949)		sp|Q13765|NACA_HUMAN
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	12	12	12	308216.88	308216.88	308216.88	3M(15.9949)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	28980.957	28980.957	28980.957	2M(15.9949)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	3	3	3	104450.84	104450.84	104450.84			
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	24490.201	24490.201	24490.201			
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	22891.5	22891.5	22891.5			
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9964	1	1	1	2	2	2	32889.05	32889.05	32889.05			
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	23	21	23	561032.0	544148.0	561032.0	4C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	54023.94	54023.94	54023.94	7M(15.9949),2M(15.9949), 5M(15.9949)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	7889.609	7889.609	7889.609	10M(15.9949)		
sp|O00515|LAD1_HUMAN	O00515	LAD1_HUMAN	LAD1	517	Homo sapiens OX=9606	Ladinin-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	102345.2	102345.2	102345.2	6M(15.9949),10M(15.9949)		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	32013.234	32013.234	32013.234	6M(15.9949),4M(15.9949), 8M(15.9949)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	30996.52	30996.52	30996.52			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	148878.48	148878.48	148878.48	9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	5	15	3	11	75679.516	26045.447	68596.234	3M(15.9949), 4M(15.9949)		
sp|O00748|EST2_HUMAN	O00748	EST2_HUMAN	CES2	559	Homo sapiens OX=9606	Cocaine esterase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	127300.125	127300.125	127300.125			
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	32498.662	32498.662	32498.662	10M(15.9949),12M(15.9949)		
sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	144	Homo sapiens OX=9606	Eukaryotic translation initiation factor 1A, Y-chromosomal 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	35761.844	0	35761.844			sp|P47813|IF1AX_HUMAN
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9986	1	1	1	1	1	1	9832.729	9832.729	9832.729	9M(15.9949)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	37749.17	37749.17	37749.17	3M(15.9949), N-term(42.0106)		
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	8	6	8	130909.4	107407.625	130909.4			
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	19309.59	19309.59	19309.59			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	18	0	18	184109.64	0	184109.64	5M(15.9949),6M(15.9949)		sp|P19105|ML12A_HUMAN
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	24097.225	24097.225	24097.225			
sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	1311	Homo sapiens OX=9606	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9966	1	1	1	1	1	1	23887.611	23887.611	23887.611			
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	9	9	9	94940.086	94940.086	94940.086	2M(15.9949),1M(15.9949)		
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	Homo sapiens OX=9606	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9979	1	1	1	1	1	1	9762.047	9762.047	9762.047			
sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	329	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	45544.7	45544.7	45544.7			
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	56683.305	56683.305	56683.305			
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	144502.14	144502.14	144502.14	9M(15.9949),1M(15.9949)		
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	269	Homo sapiens OX=9606	Surfeit locus protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	286174.38	286174.38	286174.38	2M(15.9949), 9M(15.9949)		
sp|O15264|MK13_HUMAN	O15264	MK13_HUMAN	MAPK13	365	Homo sapiens OX=9606	Mitogen-activated protein kinase 13 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	4	3	3	70921.81	70921.81	70921.81			
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	32028.383	32028.383	32028.383	2M(15.9949)		
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit H 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	16668.912	16668.912	16668.912			
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	4	4	4	31613.363	31613.363	31613.363	4C(57.0214)		
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	112768.62	112768.62	112768.62	4M(15.9949)		
sp|O15533|TPSN_HUMAN	O15533	TPSN_HUMAN	TAPBP	448	Homo sapiens OX=9606	Tapasin 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	4	4	4	84826.91	84826.91	84826.91	4M(15.9949)		
sp|O15551|CLD3_HUMAN	O15551	CLD3_HUMAN	CLDN3	220	Homo sapiens OX=9606	Claudin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	86778.89	86778.89	86778.89			
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	78300.62	78300.62	78300.62	3M(15.9949)		
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	D-3-phosphoglycerate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	47500.566	47500.566	47500.566			
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	116131.92	116131.92	116131.92	2M(15.9949),1M(15.9949)		
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	9	5	9	18	10	18	482771.2	158271.31	482771.2	10M(15.9949),2M(15.9949), 3M(15.9949)		
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens OX=9606	Tumor protein D54 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	55579.426	55579.426	55579.426			
sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	359	Homo sapiens OX=9606	Aflatoxin B1 aldehyde reductase member 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	5	4	5	80353.91	60159.797	80353.91	10M(15.9949), 8M(15.9949)		
sp|O43491|E41L2_HUMAN	O43491	E41L2_HUMAN	EPB41L2	1005	Homo sapiens OX=9606	Band 4.1-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	17	14	17	128510.96	128510.96	128510.96	3M(15.9949),N-term(42.0106)		
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	Homo sapiens OX=9606	Mitotic checkpoint protein BUB3 	1:Experimental evidence at protein level	1.0000	0.9986	3	3	3	5	5	5	87425.63	87425.63	87425.63	9M(15.9949)		
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens OX=9606	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	21	10	20	61	30	60	996954.25	848108.5	996954.25	8M(15.9949),8M(15.9949),6M(15.9949),7M(15.9949),10C(57.0214)		
sp|O43747|AP1G1_HUMAN	O43747	AP1G1_HUMAN	AP1G1	822	Homo sapiens OX=9606	AP-1 complex subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9984	1	0	1	3	0	3	22410.098	0	22410.098	8M(15.9949)		
sp|O43760|SNG2_HUMAN	O43760	SNG2_HUMAN	SYNGR2	224	Homo sapiens OX=9606	Synaptogyrin-2 	1:Experimental evidence at protein level	1.0000	0.9972	3	1	3	5	1	5	115981.29	21911.62	115981.29			
sp|O43795|MYO1B_HUMAN	O43795	MYO1B_HUMAN	MYO1B	1136	Homo sapiens OX=9606	Unconventional myosin-Ib 	1:Experimental evidence at protein level	1.0000	0.9988	5	4	4	9	7	7	76573.45	76573.45	76573.45			
sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9984	1	1	1	1	1	1	27703.506	27703.506	27703.506			
sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	80194.25	80194.25	80194.25			
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	Homo sapiens OX=9606	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1:Experimental evidence at protein level	1.0000	0.9988	4	2	4	6	3	6	94926.82	39572.727	94926.82	7M(15.9949)		
sp|O60313|OPA1_HUMAN	O60313	OPA1_HUMAN	OPA1	960	Homo sapiens OX=9606	Dynamin-like 120 kDa protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	22932.344	22932.344	22932.344	1M(15.9949)		
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein Q 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	2	14	6	6	496732.06	129602.62	129602.62	2M(15.9949), 3M(15.9949)		
sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	Homo sapiens OX=9606	GDP-mannose 4,6 dehydratase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	113033.64	113033.64	113033.64			
sp|O60568|PLOD3_HUMAN	O60568	PLOD3_HUMAN	PLOD3	738	Homo sapiens OX=9606	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	39511.96	39511.96	39511.96	3M(15.9949)		
sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	Homo sapiens OX=9606	Perilipin-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	67824.75	67824.75	67824.75	11M(15.9949)		
sp|O60701|UGDH_HUMAN	O60701	UGDH_HUMAN	UGDH	494	Homo sapiens OX=9606	UDP-glucose 6-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	9	9	9	233741.12	233741.12	233741.12			
sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	Homo sapiens OX=9606	Catenin delta-1 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	15159.388	15159.388	15159.388			
sp|O60749|SNX2_HUMAN	O60749	SNX2_HUMAN	SNX2	519	Homo sapiens OX=9606	Sorting nexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	6	5	5	68546.125	39575.438	39575.438	2M(15.9949)		
sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	12	12	12	73480.53	73480.53	73480.53			
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit DKC1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	74192.234	74192.234	74192.234	2M(15.9949)		
sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9987	1	1	1	1	1	1	17543.475	17543.475	17543.475			
sp|O60925|PFD1_HUMAN	O60925	PFD1_HUMAN	PFDN1	122	Homo sapiens OX=9606	Prefoldin subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	13299.98	13299.98	13299.98	N-term(42.0106)		
