Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	18363.94	18363.94	18363.94			
sp|A8K7I4|CLCA1_HUMAN	A8K7I4	CLCA1_HUMAN	CLCA1	914	Homo sapiens OX=9606	Calcium-activated chloride channel regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	16	15	16	316355.16	316355.16	316355.16	3C(57.0214),2C(57.0214),1C(57.0214),1C(57.0214)		
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	9	0	9	159215.66	0	159215.66	10M(15.9949)		sp|Q99613|EIF3C_HUMAN
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	14	14	14	344322.56	344322.56	344322.56	3M(15.9949)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9987	4	4	4	11	11	11	95944.74	95944.74	95944.74	3M(15.9949),5M(15.9949)		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	24580.557	24580.557	24580.557			
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	32120.328	32120.328	32120.328			
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9964	3	3	3	4	4	4	52087.098	52087.098	52087.098	3M(15.9949)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	14	11	14	455421.25	412240.0	455421.25	4C(57.0214)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	50925.297	50925.297	50925.297			
