Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	3	3	3	29177.78	29177.78	29177.78			
sp|A8K7I4|CLCA1_HUMAN	A8K7I4	CLCA1_HUMAN	CLCA1	914	Homo sapiens OX=9606	Calcium-activated chloride channel regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	20	20	20	157786.38	157786.38	157786.38	13C(57.0214),1M(15.9949),1C(57.0214),1C(57.0214),12C(57.0214)		
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	7	0	7	125376.18	0	125376.18			sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	10	0	10	56259.734	0	56259.734	5M(15.9949),6M(15.9949)		sp|Q13765|NACA_HUMAN
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	10	10	10	325969.84	325969.84	325969.84	3M(15.9949)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	31254.215	31254.215	31254.215	2M(15.9949),1M(15.9949)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	10	10	10	99721.95	99721.95	99721.95			
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	29545.412	29545.412	29545.412			
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	12	12	12	38329.1	38329.1	38329.1	N-term(42.0106)		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9964	3	3	3	3	3	3	32786.78	32786.78	32786.78	3M(15.9949)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	22	22	22	514767.44	514767.44	514767.44	N-term(42.0106)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	50813.74	50813.74	50813.74	2M(15.9949), 5M(15.9949),7M(15.9949)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	10	5	10	33750.355	22096.865	33750.355			
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	12797.081	12797.081	12797.081			
sp|O00515|LAD1_HUMAN	O00515	LAD1_HUMAN	LAD1	517	Homo sapiens OX=9606	Ladinin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	53121.17	53121.17	53121.17	10M(15.9949)		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	11	11	11	28289.633	28289.633	28289.633	4M(15.9949), 8M(15.9949)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9987	1	1	1	1	1	1	14066.288	14066.288	14066.288			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	13	13	13	135138.75	135138.75	135138.75	9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	7	20	7	16	97210.76	65827.984	97210.76			
sp|O00748|EST2_HUMAN	O00748	EST2_HUMAN	CES2	559	Homo sapiens OX=9606	Cocaine esterase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	141343.27	141343.27	141343.27			
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	6866.0024	6866.0024	6866.0024	1M(15.9949)		
