Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	CON_ALDOA_RABIT|SWISS-PROT:P00883	CON_ALDOA_RABIT|SWISS-PROT:P00883 Rabbit fructose-bisphosphate aldolase A			360	80.00				1.0000	0.9990	15	0	0	50	0	0	     0	     0	     0			
6	a	CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9			623	98.70				1.0000	0.9990	61	59	61	313	307	313	     0	     0	     0	1M(15.9949), 3M(15.9949), 5C(57.0215), 5M(15.9949), 8M(15.9949)		
7	a	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66 Tax_Id=9606 Gene_Symbol=DMKN Dermokine			476	14.10				1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
8	a	CON_IPI00694255.1|TREMBL:Q3SX14	CON_IPI00694255.1|TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin			781	21.10				1.0000	0.9990	2	0	0	3	0	0	     0	     0	     0			
9	a	CON_IPI00708398.1|SWISS-PROT:P02769	CON_IPI00708398.1|SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor			607	31.30				1.0000	0.9990	4	0	0	5	0	0	     0	     0	     0			
10	a	CON_IPI00745872.2|SWISS-PROT:P02768-1	CON_IPI00745872.2|SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor			609	65.40				1.0000	0.9990	10	6	10	14	9	14	     0	     0	     0			
11	a	CON_LACB|SWISS-PROT:P02754	CON_LACB|SWISS-PROT:P02754 Beta-lactoglobulin - Bos taurus (Bovine).			162	32.10				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	8K(54.0474)		
14	a	CON_LysC|SWISS-PROT:P15636	CON_LysC|SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.			653	34.60				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
15	a	CON_MSA|SWISS-PROT:P07724	CON_MSA|SWISS-PROT:P07724 Serum albumin - Mus musculus (Mouse).			608	25.00				1.0000	0.9990	1	0	0	2	0	0	     0	     0	     0			sp|P07724|ALBU_MOUSE
29	a	sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	11.30	Mus musculus OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	9M(15.9949)		
35	a	sp|A2AGT5|CKAP5_MOUSE	A2AGT5	CKAP5_MOUSE	Ckap5	2032	20.60	Mus musculus OX=10090	Cytoskeleton-associated protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
37	a	sp|A2AJA9|AJM1_MOUSE	A2AJA9	AJM1_MOUSE	Ajm1	974	11.10	Mus musculus OX=10090	Apical junction component 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
43	a	sp|A2AQ25|SKT_MOUSE	A2AQ25	SKT_MOUSE	Skt	1946	11.30	Mus musculus OX=10090	Sickle tail protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2M(15.9949), 8M(15.9949)		
48	a	sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	9.80	Mus musculus OX=10090	Rab GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	2M(15.9949)		
52	a	sp|B0V2N1|PTPRS_MOUSE	B0V2N1	PTPRS_MOUSE	Ptprs	1907	12.30	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase S 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	7	3	3	     0	     0	     0			
55	a	sp|B1AZP2|DLGP4_MOUSE	B1AZP2	DLGP4_MOUSE	Dlgap4	992	8.60	Mus musculus OX=10090	Disks large-associated protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	8M(15.9949)		
60	a	sp|B9EKR1|PTPRZ_MOUSE	B9EKR1	PTPRZ_MOUSE	Ptprz1	2312	6.50	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase zeta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
67	a	sp|E9PUL5|PRRT2_MOUSE	E9PUL5	PRRT2_MOUSE	Prrt2	346	31.50	Mus musculus OX=10090	Proline-rich transmembrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
68	a	sp|E9PVA8|GCN1_MOUSE	E9PVA8	GCN1_MOUSE	Gcn1	2671	5.80	Mus musculus OX=10090	eIF-2-alpha kinase activator GCN1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	2M(15.9949)		
69	a	sp|E9Q3L2|PI4KA_MOUSE	E9Q3L2	PI4KA_MOUSE	Pi4ka	2105	25.50	Mus musculus OX=10090	Phosphatidylinositol 4-kinase alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	8M(15.9949)		
70	a	sp|E9Q401|RYR2_MOUSE	E9Q401	RYR2_MOUSE	Ryr2	4966	19.70	Mus musculus OX=10090	Ryanodine receptor 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	1M(15.9949), 4M(15.9949)		
76	a	sp|F6SEU4|SYGP1_MOUSE	F6SEU4	SYGP1_MOUSE	Syngap1	1340	42.60	Mus musculus OX=10090	Ras/Rap GTPase-activating protein SynGAP 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	13	13	13	     0	     0	     0	14M(15.9949), 3M(15.9949), 6M(15.9949)		
79	a	sp|G3X9C2|FBX50_MOUSE	G3X9C2	FBX50_MOUSE	Nccrp1	266	18.00	Mus musculus OX=10090	F-box only protein 50 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
81	a	sp|G5E829|AT2B1_MOUSE	G5E829	AT2B1_MOUSE	Atp2b1	1220	48.80	Mus musculus OX=10090	Plasma membrane calcium-transporting ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	21	9	11	76	30	34	     0	     0	     0	10M(15.9949), 1M(15.9949), 6M(15.9949), 7M(15.9949), 9M(15.9949)		
82	a	sp|G5E8K5|ANK3_MOUSE	G5E8K5	ANK3_MOUSE	Ank3	1961	30.10	Mus musculus OX=10090	Ankyrin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	2	5	1	3	     0	     0	     0			
85	a	sp|O08532|CA2D1_MOUSE	O08532	CA2D1_MOUSE	Cacna2d1	1103	19.10	Mus musculus OX=10090	Voltage-dependent calcium channel subunit alpha-2/delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0	11M(15.9949)		
87	a	sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	81.10	Mus musculus OX=10090	Dihydropyrimidinase-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	18	10	18	75	48	75	     0	     0	     0	1M(15.9949), 6M(15.9949)		
